customer_message,expected_intent,predicted_intent,correct
@AppleSupport I’m trying to put my iCloud on an older I phone that hasn’t been used in a while and it’s telling me to connect to iTunes but I can’t,wifi_connectivity,wifi_connectivity,True
@AppleSupport Anyone else having problems sending #Hotmail from iOS 11.1.1?  I receive email. When sending I get “Cannot send. The message was rejected by the server.”,software_ios,software_ios,True
@AppleSupport I appreciate your response &amp; will look into your suggestions. Thanks,app_issues,unknown,False
"@AppleSupport Hey Apple, I think you didn't not complete the job of translating High Sierra properly. https://t.co/CfrybtiMqx",mac_macos,mac_macos,True
how can i remove the payment info in my phone??? huhuhu @AppleSupport,app_store_purchases,app_store_purchases,True
@115858 iCloud backup &amp; iTunes backup are both not working.,icloud_apple_id,icloud_apple_id,True
"@AppleSupport going to united states un 10 days, wanna know if is already available the iphone 8 that I can use down here in brazil. thanks",hardware_device,unknown,False
@AppleSupport can you please advise why my iPhone will not send video messages after I did the update?,notifications_messages,software_ios,False
@AppleSupport what is going on with not sending videos to a android user?  Now not getting messages. What is going on!??!!!,notifications_messages,unknown,False
@AppleSupport the battery drain is a bit much. iOS 11.0.2 on a A1533 iPhone 5S. https://t.co/8b45lRHJRm,battery_charging,battery_charging,True
"@115858 keep up the ""good service"" on older iPhone models! My iPhone 6 was working perfectly fine until your new shit came out.",hardware_device,unknown,False
"@115858 What is going on?  I keep getting ads for lousy, scam Shanghai online clothing stores!",security_fraud,security_fraud,True
@AppleSupport 1.54gb of messages gone just like that but they're still taking up the memory on my phone?? looooool ok den https://t.co/hlal0famyL,notifications_messages,unknown,False
@AppleSupport from https://t.co/d2R8kdYFyf website. definitely a bug. No problem from the iPhone preferences.,hardware_device,software_ios,False
Um is this legit? @AppleSupport I don’t want to get hacked but don’t want to get locked out like this is threatening https://t.co/dhiLYjOqYr,security_fraud,security_fraud,True
"Dear @115858, 
cc. @AppleSupport @116333 

Please add in a “marked as unread” feature to iMessage. Everyone would benefit greatly. 

Regards, 
Matt",notifications_messages,notifications_messages,True
"@418918 @AppleSupport This also happens to me, I only just figured out how to reset it, I was waiting for the battery life to drain for it to reset! Nightmare",battery_charging,battery_charging,True
"Hey @AppleSupport, I can't get my email to reconfigure to my MacBook. Is this something you can help me with? 😢",mac_macos,mac_macos,True
"@AppleSupport yes, and force restart, and reset network settings",wifi_connectivity,wifi_connectivity,True
